corpus,dataset,best,worst,mean,p10,p90,spread,oracle_gain,truefam
tsbad_m,103_SVDB_id_20_Medical_tr_12167_1st_1226,0.0537290892071278,-0.02878495776061636,-0.006020979278812854,-0.022039537584992944,0.03690866788351873,0.08251404696774417,0.05975006848594065,local
ovrbench,visualizing_soil,0.8408264460960684,0.0028711266494218777,0.2522596033261713,0.10523537743583852,0.45822649307774965,0.8379553194466465,0.5885668427698971,global
ovrbench,AbstractAnomalyBatch,0.9306485703742619,-0.05316258672281152,0.29379487927703696,-0.004196663446554925,0.8874115739610186,0.9838111570970733,0.6368536910972249,local
ovrbench,GamingBehavior,0.6952367991625037,-0.0547702768250196,0.3549464345436035,0.021834455003527854,0.6385240078823187,0.7500070759875233,0.3402903646189002,local
oddbench,GeneticAnalysis,0.08236402095925924,-0.05184526712595436,-0.0013059614422450212,-0.0426806806282629,0.06267771613354647,0.1342092880852136,0.08366998240150426,global
oddbench,AxieInfinityBug,0.10910586148953533,-0.0835542532035017,-0.0026642028083510537,-0.035110876725364816,0.04159342336312168,0.192660114693037,0.11177006429788638,global
oddbench,RealEstateBlockType,0.09308491991600783,-0.064562320632327,-0.0008777067500144757,-0.04815062023828381,0.04520977570535903,0.15764724054833484,0.0939626266660223,global
oddbench,WaterPointFunctionality,0.08015356065835312,-0.0887931821846035,-0.01700196724521485,-0.0653621590591244,0.03860184125797889,0.16894674284295663,0.09715552790356798,local
oddbench,SMSClassification,0.4351489826963061,-0.028959404408407583,0.1592711167232318,-0.000710866843229879,0.3327665820895914,0.4641083871047137,0.2758778659730743,global
ovrbench,KPIData,0.0362400969318834,-0.0980026664325784,-0.04613566195499397,-0.09032488741696322,0.015944317477077842,0.1342427633644618,0.08237575888687737,local
ovrbench,ShuttleOperations,0.8906611432562906,-0.21403207055203352,0.35440573011554577,-0.1376792030229987,0.8740851260125189,1.104693213808324,0.5362554131407449,local
oddbench,CasePriority,0.28966152459733296,-0.04741278289445839,0.1124797731080928,0.005058676356211604,0.24134101052824075,0.33707430749179135,0.17718175148924015,local
tsbad_m,112_SVDB_id_29_Medical_tr_8226_1st_8326.,0.059556218929615976,-0.010802330470989156,0.00039372452961730246,-0.008427746250853302,0.004377087814953098,0.07035854940060512,0.059162494399998676,global
adbench,44_Wilt,0.6714511049481845,-0.08224154526871497,0.061551167110395974,-0.07120753967367473,0.30352298448155113,0.7536926502168995,0.6098999378377885,local
ovrbench,SpotifyHitPredictor,0.35538058496641045,-0.017033968779354824,0.15953611696610331,0.08113209573597963,0.2797439621330994,0.37241455374576526,0.19584446800030714,global
dami,Wilt,0.17332325636804388,-0.08224154526871497,-0.04847033167699572,-0.08099164581413498,-0.016548314547248612,0.2555648016367589,0.2217935880450396,local
oddbench,TreadmillStatus,0.6245036817326284,-0.12770830958591983,0.13290131464174382,-0.10026421108554343,0.46107300592529876,0.7522119913185482,0.49160236709088456,local
ovrbench,students_dropout_and_academic_success,0.2708995509143613,0.03245345285761011,0.13262319078748006,0.060969609777144974,0.22384703173148224,0.23844609805675118,0.13827636012688124,local
ovrbench,MalariaDetection,0.6932175509174341,-0.24422332243608927,0.11855863822475159,-0.14024163235466397,0.478110296185692,0.9374408733535233,0.5746589126926825,global
ovrbench,GesturePhaseSegmentationProcessed,0.4336853265749018,-0.2648257758761226,-0.14758063594018025,-0.2590103809459716,0.2125038780839052,0.6985111024510244,0.581265962515082,local
